Rank[a],Ship name,Cruise line[b],Year[c],Grosstonnage[d],Lengthoverall[d][e],Beam[d],Beam[d],Staterooms,Passenger capacity[f],Passenger capacity[f],Image
Rank[a],Ship name,Cruise line[b],Year[c],Grosstonnage[d],Lengthoverall[d][e],Maximum[g],Waterline[h],Staterooms,Double[i],Maximum[j],Image
26,Norwegian Epic,Norwegian Cruise Line,2010[82],"155,873[82]","329.5 m(1,081 ft)[83]",40.6 m(133 ft)[83],40.6 m(133 ft)[83],"2,114[83]","4,100[l][83]","5,183[84]",
27,MSC Seaview,MSC Cruises,2018[85],"153,516[85]","323 m(1,060 ft)[86]",41 m(135 ft)[85],41 m(135 ft)[85],"2,066[86]","4,132[86]","5,336[86]",
27,MSC Seaside,MSC Cruises,2017[87],"153,516[87]","323 m(1,060 ft)[88]",41 m(135 ft)[88],41 m(135 ft)[88],"2,066[88]","4,132[88]","5,336[88]",
29,Genting Dream,Dream Cruises,2016[89],"150,695[89]","335.33 m(1,100.2 ft)[89]",44.1 m(145 ft)[89],39.7 m(130 ft)[89],"1,674[90]","3,348[90]","4,500[90]",
29,World Dream,Dream Cruises,2017[91],"150,695[91]","335.2 m(1,100 ft)[91]",44.35 m(145.5 ft)[91],39.75 m(130.4 ft)[91],"1,686[92]",Un­known,"3,376[92]",
31,Queen Mary 2,Cunard Line,2004[k][93],"149,215[93]","345.03 m(1,132.0 ft)[93]",45 m(147 ft)[94],41 m(135 ft)[93],"1,353[95]","2,691[l][95]","3,090[94]",
32,Norwegian Breakaway,Norwegian Cruise Line,2013[96],"145,655[96]","325.64 m(1,068.4 ft)[96]",51.7 m(169.7 ft)[97],39.71 m(130.3 ft)[96],"2,015[98]","3,963[l][97]",Un­known,
32,Norwegian Getaway,Norwegian Cruise Line,2014[99],"145,655[99]","325.65 m(1,068.4 ft)[99]",44.39 m(145.6 ft)[99],39.73 m(130.3 ft)[99],"2,015[100]","3,963[l][101]",Un­known,
34,Sky Princess,Princess Cruises,2019[102],"145,281[102]","330 m(1,080 ft)[102]",38.4 m(126 ft)[102],38.4 m(126 ft)[102],"1,830[103]","3,660[103]","4,610[103]",
34,Enchanted Princess[104],Princess Cruises,2020[104],"145,281[104]","329.91 m(1,082.4 ft)[104]",38.42 m(126.0 ft)[104],38.42 m(126.0 ft)[104],"1,830[105]","3,660[105]",Un­known,
36,Majestic Princess,Princess Cruises,2017[106],"144,216[106]","330.0 m(1,082.7 ft)[106]",Un­known,38.4 m(126 ft)[106],"1,780[107]","3,560[107]","5,600[107]",
37,Britannia,P&O Cruises,2015[108],"143,730[108]","330 m(1,080 ft)[108]",Un­known,38.38 m(125.9 ft)[108],"1,837[109]","3,647[l][109]",Un­known,
38,Royal Princess,Princess Cruises,2013[110],"142,714[110]","330 m(1,080 ft)[110]",47 m(155 ft)[111],38.4 m(126 ft)[110],"1,780[111]","3,560[111]","4,340[111]",
38,Regal Princess,Princess Cruises,2014[112],"142,714[112]","330 m(1,080 ft)[112]",Un­known,38.27 m(125.6 ft)[112],"1,780[113]","3,560[113]","4,340[113]",
40,Navigator of the Seas,Royal Caribbean International,2002[k][114],"139,999[114]","311 m(1,020 ft)[114]",48.0 m(157.5 ft)[115],38.6 m(127 ft)[114],"1,693[115]","3,386[115]","4,000[115]",
41,Mariner of the Seas,Royal Caribbean International,2003[116],"139,863[116]","311.12 m(1,020.7 ft)[116]",39.032 m(128.06 ft)[116],38.6 m(127 ft)[116],"1,674[117]","3,344[l][117]","4,000[117]",
42,MSC Divina,MSC Cruises,2012[118],"139,072[118]","333.33 m(1,093.6 ft)[118]",37.92 m(124.4 ft)[118],37.92 m(124.4 ft)[118],"1,751[119]","3,502[119]","4,345[119]",
42,MSC Preziosa,MSC Cruises,2013[120],"139,072[120]","333.33 m(1,093.6 ft)[120]",37.92 m(124.4 ft)[120],37.92 m(124.4 ft)[120],"1,751[121]","3,502[121]","4,345[121]",
44,Explorer of the Seas,Royal Caribbean International,2000[k][122],"138,194[122]","311 m(1,020 ft)[122]",49.1 m(161 ft)[122],38.6 m(127 ft)[122],"1,557[123]","3,114[123]","3,840[123]",
44,Voyager of the Seas,Royal Caribbean International,1999[k][124],"138,194[124]","311.12 m(1,020.7 ft)[124]",47.4 m(156 ft)[124],38.6 m(127 ft)[124],"1,557[125]","3,114[125]","3,840[125]",
46,Adventure of the Seas,Royal Caribbean International,2001[126],"138,193[126]","311 m(1,020 ft)[126]",49.1 m(161 ft)[126],38.6 m(127 ft)[126],"1,557[127]","3,114[127]","3,807[127]",
47,MSC Fantasia,MSC Cruises,2008[128],"137,936[128]","333.33 m(1,093.6 ft)[128]",37.92 m(124.4 ft)[128],37.92 m(124.4 ft)[128],"1,637[129]","3,274[129]","4,363[129]",
47,MSC Splendida,MSC Cruises,2009[130],"137,936[130]","333.33 m(1,093.6 ft)[130]",37.92 m(124.4 ft)[130],37.92 m(124.4 ft)[130],"1,637[131]","3,274[131]","3,952[131]",
49,Costa Venezia,Costa Cruises,2019[132],"135,225[132]","323 m(1,060 ft)[132]",Un­known,37.2 m(122 ft)[132],"2,116[133]","4,232[133]","5,260[133]",
50,Costa Firenze[134],Costa Asia[135],2020[134],"135,156[134]","323 m(1,060 ft)[136]",37.2 m(122 ft)[134],37.2 m(122 ft)[134],Un­known,">5,200[136]",">5,200[136]",
